néscio estúpido
conserto reparo
discriminar distinguir
acutilar golpear
nitrir relinchar
espadana labareda
relinchar nitrir
ornar enfeitar
gáudio júbilo
futrica fuxico
insigne celebre
insanidade demência
desatino disparate
crista cimo
pileque bebedeira
adelgaçar desbastar
piparote peteleco
profícuo proveitoso
concernente referente
funéreo fúnebre
preferência predileção
cerviz nuca
veado cervo
chapada planalto
desalento desânimo
insistir perseverar
manhoso jeitoso
referente concernente
frontispício fachada
gola colarinho
compromisso obrigação 
insolência desaforo
inspeção exame
comportamento conduta
